"Datum","LUP","MSE","NWM","LRO","VG","VR","HRO","SN","MV"
"2020-12-01",843,978,696,564,1294,711,660,372,6118
"2020-12-02",871,1010,706,571,1330,718,669,392,6267
"2020-12-03",900,1060,729,578,1362,729,679,411,6448
"2020-12-04",931,1103,748,580,1395,740,689,422,6608
"2020-12-05",959,1117,748,584,1413,755,691,422,6689
"2020-12-06",961,1148,761,585,1430,766,692,440,6783
"2020-12-07",967,1159,769,589,1450,770,692,441,6837
"2020-12-08",1019,1211,804,594,1486,782,700,467,7063
"2020-12-09",1074,1280,828,615,1542,828,705,488,7360
"2020-12-10",1118,1324,860,623,1582,863,709,519,7598
"2020-12-11",1161,1371,927,636,1625,886,718,549,7873
"2020-12-12",1221,1417,953,648,1644,901,718,569,8071
"2020-12-13",1225,1470,963,670,1699,910,723,574,8234
"2020-12-14",1230,1498,963,676,1729,916,728,576,8316
"2020-12-15",1276,1620,999,706,1771,925,738,603,8638
"2020-12-16",1343,1682,1020,752,1828,952,747,630,8954
"2020-12-17",1379,1770,1051,773,1843,973,756,684,9229
"2020-12-18",1407,1850,1068,796,1883,992,771,710,9477
"2020-12-19",1436,1906,1088,807,1897,1026,781,727,9668
"2020-12-20",1448,1957,1088,812,1948,1035,787,727,9802
"2020-12-21",1449,1974,1090,817,1998,1051,796,732,9907
"2020-12-22",1513,2034,1119,884,2032,1068,808,756,10214
"2020-12-23",1546,2144,1134,904,2078,1115,826,787,10534
"2020-12-24",1578,2196,1134,918,2102,1124,833,800,10685
"2020-12-25",1592,2266,1149,924,2138,1132,841,804,10846
"2020-12-26",1603,2297,1150,924,2177,1140,845,810,10946
"2020-12-27",1604,2342,1151,938,2219,1149,848,811,11062
"2020-12-28",1615,2354,1157,942,2279,1161,853,814,11175
"2020-12-29",1745,2512,1202,964,2303,1204,869,835,11634
"2020-12-30",1797,2623,1215,983,2362,1234,887,912,12013
"2020-12-31",1847,2655,1221,1007,2362,1247,896,936,12171
"2021-01-01",1855,2711,1232,1010,2434,1263,909,951,12365
"2021-01-02",1860,2727,1234,1015,2480,1265,923,953,12457
"2021-01-03",1864,2755,1234,1024,2535,1269,932,953,12566
"2021-01-04",1871,2827,1248,1030,2580,1286,938,961,12741
"2021-01-05",1995,2975,1294,1080,2610,1324,957,996,13231
"2021-01-06",2082,3137,1314,1161,2645,1365,990,1016,13710
"2021-01-07",2140,3227,1363,1197,2680,1391,1005,1036,14039
"2021-01-08",2193,3341,1393,1247,2751,1429,1022,1064,14440
"2021-01-09",2262,3395,1421,1276,2763,1461,1022,1079,14679
"2021-01-10",2264,3437,1423,1280,2773,1468,1041,1083,14769
"2021-01-11",2272,3461,1430,1291,2834,1473,1045,1087,14893
"2021-01-12",2373,3609,1448,1332,2901,1492,1059,1111,15325
"2021-01-13",2441,3714,1474,1362,2968,1514,1071,1151,15695
